iter	Passed	Remaining
0	58	11716
1	59	5897
2	60	3949
3	60	2978
4	61	2393
5	62	2004
6	62	1726
7	63	1516
8	63	1355
9	64	1225
10	65	1118
11	65	1030
12	66	954
13	66	889
14	67	833
15	68	784
16	68	740
17	69	701
18	70	666
19	70	637
20	71	610
21	72	584
22	72	561
23	73	540
24	74	520
25	74	501
26	75	483
27	76	467
28	76	452
29	77	437
30	77	424
31	79	415
32	79	403
33	80	392
34	81	382
35	81	371
36	82	362
37	82	352
38	83	344
39	83	335
40	84	327
41	85	320
42	85	313
43	86	306
44	87	299
45	87	293
46	88	287
47	88	281
48	89	274
49	89	269
50	90	263
51	90	258
52	92	255
53	92	250
54	93	245
55	93	241
56	94	236
57	95	232
58	95	228
59	96	224
60	96	220
61	97	216
62	97	212
63	98	209
64	98	205
65	99	201
66	99	198
67	100	195
68	100	191
69	101	187
70	101	184
71	102	181
72	102	178
73	103	176
74	103	173
75	104	170
76	105	167
77	105	165
78	105	162
79	106	159
80	107	157
81	107	155
82	108	152
83	108	150
84	109	148
85	110	145
86	110	143
87	110	141
88	111	138
89	112	136
90	112	134
91	113	132
92	113	130
93	114	128
94	114	126
95	115	124
96	115	123
97	116	121
98	117	119
99	117	117
100	118	115
101	118	113
102	119	112
103	119	110
104	120	108
105	120	107
106	121	105
107	121	103
108	122	102
109	123	100
110	123	99
111	124	97
112	124	96
113	125	94
114	125	92
115	126	91
116	127	90
117	127	88
118	127	87
119	128	85
120	129	84
121	129	82
122	130	81
123	130	80
124	131	78
125	131	77
126	132	76
127	132	74
128	133	73
129	134	72
130	134	71
131	135	69
132	135	68
133	136	67
134	136	65
135	137	64
136	138	63
137	138	62
138	139	61
139	139	59
140	140	58
141	140	57
142	141	56
143	142	55
144	142	54
145	143	53
146	144	51
147	144	50
148	145	49
149	145	48
150	146	47
151	146	46
152	147	45
153	148	44
154	148	43
155	149	42
156	150	41
157	150	40
158	150	38
159	151	37
160	152	36
161	152	35
162	153	34
163	153	33
164	154	32
165	154	31
166	155	30
167	155	29
168	156	28
169	157	27
170	158	26
171	159	25
172	159	24
173	160	23
174	160	22
175	161	22
176	162	21
177	162	20
178	163	19
179	163	18
180	164	17
181	164	16
182	165	15
183	165	14
184	166	13
185	166	12
186	167	11
187	168	10
188	169	9
189	169	8
190	170	8
191	171	7
192	171	6
193	172	5
194	172	4
195	173	3
196	174	2
197	174	1
198	174	0
199	175	0
